ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,COUNTRY
10229,8,315.37,,2025-03-08,Cancelled,Vintage Cars,Germany
10230,9,471.31,4252.68,2023-08-07,Resolved,Motorcycles,UK
10231,2,42.92,77.82,2025-09-12,On Hold,Classic Cars,India
10232,14,454.47,,2023-12-14,Cancelled,Trucks and Buses,Germany
10233,5,226.03,1141.63,2026-04-06,On Hold,Motorcycles,India
10234,9,487.83,4347.24,2024-05-29,Shipped,Ships,Japan
10235,1,325.12,373.22,2025-11-19,Shipped,Planes,India
10236,6,135.74,830.15,2025-05-09,Resolved,Motorcycles,USA
10237,6,282.09,1723.89,2023-08-08,On Hold,Trucks and Buses,Japan
10238,11,107.49,1145.88,2025-11-18,On Hold,Classic Cars,UK
10239,4,41.03,,2026-02-10,Resolved,Trains,Australia
10240,14,280.65,3904.43,2023-09-26,Cancelled,Planes,Canada
10241,14,394.8,5563.78,2024-08-20,Shipped,Vintage Cars,Canada
10242,7,446.95,3152.98,2023-10-29,On Hold,Planes,Germany
10243,8,352.19,2804.25,2023-11-08,Resolved,Vintage Cars,India
10244,12,223.76,2678.18,2024-12-11,Cancelled,Trains,UK
10245,6,69.25,398.29,2023-06-21,On Hold,Trains,Australia
10246,3,351.09,,2023-07-02,Resolved,Trains,Australia
10247,5,326.95,1663.9,2026-03-12,On Hold,Planes,Germany
10248,1,88.53,99.29,2024-03-19,Shipped,Motorcycles,India
10249,4,393.69,1561.39,2026-01-15,Shipped,Trains,Germany
10250,11,235.96,2582.66,2024-03-29,Shipped,Trains,Germany
10251,9,196.14,1746.7,2024-01-11,Shipped,Classic Cars,Germany
10252,8,268.52,2189.51,2024-10-19,Resolved,Trucks and Buses,Japan
10253,4,498.26,1971.6,2024-08-02,On Hold,Motorcycles,India
10254,3,429.36,1283.28,2024-09-25,On Hold,Classic Cars,Canada
10255,11,186.76,2010.85,2023-10-04,Resolved,Vintage Cars,Germany
10256,12,360.59,4347.1,2025-06-12,Resolved,Trains,France
10257,2,492.86,1014.93,2024-07-05,On Hold,Classic Cars,Canada
10258,9,294.69,2648.95,2025-11-10,Cancelled,Trains,India
10259,2,168.46,386.88,2024-07-10,On Hold,Vintage Cars,Australia
10260,14,295.95,4105.83,2024-04-26,Shipped,Ships,Japan
10261,11,268.33,2914.46,2024-11-01,Cancelled,Vintage Cars,Germany
10262,7,261.37,1866.41,2024-06-07,Cancelled,Planes,Germany
10263,3,174.88,545.57,2025-07-02,Resolved,Vintage Cars,India
10264,5,114.22,616.74,2025-04-06,Resolved,Trains,India
10265,9,327.67,2958.21,2026-02-14,Cancelled,Trucks and Buses,Canada
10266,14,463.49,6442.98,2023-12-29,Shipped,Classic Cars,UK
10267,11,121.19,1340.3,2024-02-10,Shipped,Ships,UK
10268,11,479.19,5269.38,2023-12-07,On Hold,Planes,Japan
10269,2,350.53,666.87,2023-11-03,On Hold,Motorcycles,Canada
10270,10,88.96,925.75,2026-01-21,Resolved,Ships,Germany
10271,13,197.86,2578.35,2023-07-10,On Hold,Classic Cars,UK
10272,8,139.0,1071.68,2024-09-12,On Hold,Vintage Cars,Australia
10273,4,482.09,1968.59,2024-07-20,Resolved,Motorcycles,Germany
10274,8,498.07,3981.24,2023-06-13,On Hold,Classic Cars,India
10275,7,262.61,1884.94,2026-01-29,Resolved,Classic Cars,USA
10276,5,257.55,1325.98,2025-10-31,On Hold,Planes,USA
10277,14,71.6,965.79,2023-09-13,Resolved,Vintage Cars,Australia
10278,6,41.72,205.44,2026-04-18,Resolved,Trains,UK
10279,2,205.45,405.94,2025-01-29,Shipped,Motorcycles,India
10280,7,199.14,1442.66,2023-07-12,Resolved,Vintage Cars,Germany
10281,4,309.18,,2024-05-13,Shipped,Motorcycles,Canada
10282,13,247.4,3211.9,2024-07-24,Cancelled,Planes,Canada
10283,3,208.62,637.51,2025-10-27,Resolved,Trains,Japan
10284,12,290.2,,2024-06-16,Resolved,Trucks and Buses,India
10285,7,300.18,2130.94,2024-07-31,Shipped,Trains,Japan
10286,5,484.19,2449.24,2024-02-15,Cancelled,Trucks and Buses,USA
10287,10,250.62,2508.62,2023-12-14,On Hold,Motorcycles,France
10288,1,294.83,314.88,2023-08-11,On Hold,Planes,Australia
10289,3,218.22,625.05,2026-01-30,On Hold,Vintage Cars,USA
10290,12,86.28,1006.09,2024-02-02,On Hold,Trains,Australia
10291,6,479.21,2871.23,2024-05-06,Resolved,Trucks and Buses,UK
10292,10,252.41,2569.83,2026-05-09,Resolved,Motorcycles,UK
10293,13,158.72,2034.09,2023-07-06,Resolved,Ships,Canada
10294,9,468.18,4243.16,2024-05-30,Shipped,Trains,Australia
10295,15,490.48,7389.04,2025-08-09,Cancelled,Planes,USA
10296,5,478.55,2350.65,2024-01-12,Resolved,Trucks and Buses,Japan
10297,4,116.99,471.82,2024-07-19,Resolved,Motorcycles,India
10298,10,375.63,3730.23,2026-02-21,Cancelled,Trucks and Buses,France
10299,1,68.1,51.13,2024-07-30,Cancelled,Classic Cars,Germany
10300,7,333.39,2371.79,2023-11-27,Cancelled,Vintage Cars,UK
