customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00019,Male,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),20.93,221.42,No
CUST00020,Male,1,Yes,Yes,39,No,DSL,Month-to-month,Yes,Bank transfer (automatic),81.17,3214.35,No
CUST00021,Female,1,Yes,Yes,27,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),88.75,2431.54,Yes
CUST00022,Male,0,Yes,Yes,57,Yes,Fiber optic,Two year,Yes,Credit card (automatic),75.17,,Yes
CUST00023,Male,0,No,No,6,Yes,DSL,Month-to-month,Yes,Credit card (automatic),109.89,630.35,Yes
CUST00024,Male,1,Yes,Yes,53,No,DSL,One year,Yes,Mailed check,100.22,5348.07,No
CUST00025,Female,1,No,Yes,30,No,Fiber optic,Two year,No,Bank transfer (automatic),42.29,1284.7,Yes
CUST00026,Male,0,No,No,23,No,Fiber optic,Two year,Yes,Credit card (automatic),78.06,1843.74,Yes
CUST00027,Male,1,No,Yes,1,No,No,One year,Yes,Bank transfer (automatic),71.99,102.64,No
CUST00028,Female,0,No,No,38,Yes,Fiber optic,One year,Yes,Credit card (automatic),75.44,2835.9,No
CUST00029,Male,0,No,No,28,Yes,DSL,Two year,No,Mailed check,71.12,2020.73,Yes
CUST00030,Female,1,Yes,No,61,No,Fiber optic,Month-to-month,Yes,Electronic check,81.13,4975.78,Yes
CUST00031,Male,1,Yes,No,67,No,Fiber optic,Two year,No,Credit card (automatic),66.45,4457.89,Yes
CUST00032,Female,1,Yes,No,34,No,DSL,Two year,No,Mailed check,95.18,3270.11,No
CUST00033,Male,0,Yes,No,11,No,Fiber optic,Two year,No,Credit card (automatic),33.84,345.37,Yes
CUST00034,Female,1,Yes,No,3,No,Fiber optic,One year,Yes,Credit card (automatic),105.67,343.57,Yes
CUST00035,Female,0,No,Yes,50,Yes,Fiber optic,Two year,Yes,Electronic check,53.61,2698.41,No
CUST00036,Female,1,No,No,7,No,Fiber optic,One year,Yes,Credit card (automatic),46.02,304.88,Yes
CUST00037,Male,0,Yes,Yes,45,Yes,No,Month-to-month,Yes,Mailed check,42.42,1865.76,No
CUST00038,Female,0,Yes,Yes,28,No,DSL,Two year,Yes,Bank transfer (automatic),66.5,1837.62,No
CUST00039,Male,0,No,Yes,10,Yes,Fiber optic,Two year,No,Bank transfer (automatic),79.21,825.16,Yes
CUST00040,Female,1,Yes,No,54,Yes,No,Two year,No,Credit card (automatic),102.23,5480.97,No
CUST00041,Male,1,No,Yes,35,No,No,Two year,No,Bank transfer (automatic),52.23,1802.6,Yes
CUST00042,Female,1,No,Yes,63,Yes,DSL,Month-to-month,No,Credit card (automatic),41.21,2626.01,Yes
CUST00043,Female,0,No,Yes,63,No,No,Two year,No,Credit card (automatic),64.82,4035.38,No
CUST00044,Female,1,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Yes,Mailed check,55.18,2368.11,Yes
CUST00045,Male,1,Yes,No,68,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),79.68,5466.29,Yes
CUST00046,Male,0,No,No,17,No,Fiber optic,One year,Yes,Electronic check,83.79,1449.71,No
CUST00047,Male,0,Yes,No,9,Yes,DSL,Month-to-month,No,Mailed check,60.07,498.04,No
CUST00048,Male,0,Yes,No,55,Yes,DSL,Month-to-month,Yes,Electronic check,50.54,,Yes
CUST00049,Female,1,Yes,Yes,61,No,No,Two year,Yes,Credit card (automatic),49.13,2970.08,Yes
CUST00050,Male,1,No,No,35,Yes,Fiber optic,Two year,No,Credit card (automatic),102.66,3550.24,No
CUST00051,Female,1,Yes,Yes,11,Yes,No,Two year,Yes,Bank transfer (automatic),79.8,916.74,Yes
CUST00052,Male,1,No,Yes,67,No,Fiber optic,One year,No,Bank transfer (automatic),85.15,5746.66,Yes
CUST00053,Male,1,Yes,No,64,No,Fiber optic,Month-to-month,No,Electronic check,48.82,3169.0,No
CUST00054,Female,0,Yes,No,47,Yes,Fiber optic,One year,No,Electronic check,82.26,3866.07,Yes
CUST00055,Male,1,Yes,Yes,31,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),90.98,2801.46,No
CUST00056,Male,1,Yes,Yes,62,Yes,Fiber optic,One year,No,Bank transfer (automatic),118.02,7291.61,Yes
CUST00057,Female,1,No,No,63,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),106.53,6706.04,Yes
CUST00058,Female,1,Yes,No,41,Yes,DSL,Two year,No,Electronic check,94.47,3893.79,No
CUST00059,Male,0,No,No,2,No,No,Two year,No,Electronic check,92.24,175.48,No
CUST00060,Female,0,Yes,Yes,49,No,DSL,Two year,Yes,Credit card (automatic),115.41,5667.77,Yes
CUST00061,Male,0,No,Yes,13,No,Fiber optic,One year,No,Mailed check,64.37,856.21,Yes
CUST00062,Female,0,No,Yes,24,Yes,Fiber optic,Two year,No,Credit card (automatic),37.0,845.9,No
CUST00063,Male,0,No,No,60,No,No,One year,No,Credit card (automatic),110.12,6624.96,No
CUST00064,Female,1,No,Yes,62,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),30.67,1889.68,No
CUST00065,Female,0,Yes,Yes,46,No,Fiber optic,Month-to-month,No,Mailed check,41.9,1896.41,Yes
CUST00066,Female,1,Yes,No,54,No,Fiber optic,Two year,No,Electronic check,37.56,1991.46,No
CUST00067,Female,1,Yes,No,29,Yes,Fiber optic,Two year,Yes,Credit card (automatic),106.01,3096.71,No
CUST00068,Male,0,No,Yes,49,No,No,Month-to-month,Yes,Credit card (automatic),102.24,5053.79,No
CUST00069,Female,0,Yes,Yes,6,Yes,Fiber optic,One year,No,Credit card (automatic),114.63,668.22,Yes
CUST00070,Female,0,No,Yes,63,No,Fiber optic,Month-to-month,No,Electronic check,81.57,5182.82,No
CUST00071,Male,1,Yes,Yes,46,Yes,DSL,One year,Yes,Mailed check,26.06,1176.35,Yes
CUST00072,,1,Yes,Yes,27,No,DSL,Month-to-month,No,Mailed check,78.64,2154.59,Yes
CUST00073,Female,0,Yes,No,2,Yes,DSL,Two year,No,Electronic check,55.82,140.48,Yes
CUST00074,Male,0,No,No,66,Yes,DSL,One year,No,Credit card (automatic),79.37,5233.62,Yes
CUST00075,Male,0,Yes,No,10,No,Fiber optic,Two year,No,Credit card (automatic),109.93,1081.51,No
CUST00076,Female,0,No,No,71,No,Fiber optic,One year,Yes,Bank transfer (automatic),92.08,6509.18,No
CUST00077,Male,0,Yes,No,20,Yes,No,Two year,No,Mailed check,88.68,1771.03,Yes
CUST00078,Female,0,No,No,43,No,DSL,Two year,Yes,Mailed check,87.0,3732.08,No
CUST00079,Male,1,Yes,No,72,Yes,DSL,One year,No,Bank transfer (automatic),56.76,,No
CUST00080,Male,0,Yes,No,52,No,Fiber optic,One year,Yes,Bank transfer (automatic),26.96,1426.02,No
CUST00081,Male,0,No,No,11,No,Fiber optic,Two year,No,Credit card (automatic),108.33,1157.19,No
CUST00082,Female,1,Yes,Yes,45,No,No,Month-to-month,Yes,Mailed check,62.99,2812.87,No
CUST00083,Female,1,Yes,Yes,33,No,No,Two year,Yes,Bank transfer (automatic),48.94,1577.02,Yes
CUST00084,Female,1,No,No,56,No,DSL,One year,Yes,Bank transfer (automatic),21.87,1266.84,Yes
CUST00085,Male,1,No,Yes,47,No,Fiber optic,Two year,No,Mailed check,28.81,1388.52,No
CUST00086,Female,1,Yes,Yes,15,Yes,DSL,One year,Yes,Mailed check,73.06,1065.29,Yes
CUST00087,Female,1,No,No,23,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),115.13,2660.78,No
CUST00088,Female,0,Yes,No,46,No,DSL,Two year,Yes,Credit card (automatic),70.73,3234.62,No
CUST00089,Male,1,No,Yes,6,Yes,Fiber optic,Month-to-month,No,Electronic check,64.97,,Yes
CUST00090,Female,1,No,No,57,No,Fiber optic,Two year,Yes,Bank transfer (automatic),72.41,4138.35,Yes
CUST00091,Male,1,Yes,Yes,50,No,Fiber optic,Two year,No,Mailed check,48.41,2442.87,Yes
CUST00092,Male,1,No,Yes,43,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),101.32,4373.77,No
CUST00093,Male,0,No,Yes,20,No,DSL,Month-to-month,Yes,Mailed check,27.72,,No
CUST00094,Female,0,Yes,No,31,No,DSL,One year,No,Credit card (automatic),116.96,3636.82,No
CUST00095,Male,1,Yes,No,54,No,No,Month-to-month,Yes,Bank transfer (automatic),116.63,6329.71,Yes
CUST00096,Male,1,No,Yes,66,No,DSL,One year,No,Mailed check,34.73,2285.93,No
CUST00097,Female,0,Yes,Yes,4,No,Fiber optic,Two year,Yes,Credit card (automatic),51.87,167.39,No
CUST00098,Female,0,No,Yes,3,No,DSL,Month-to-month,Yes,Credit card (automatic),45.59,170.27,No
CUST00099,Male,0,No,No,64,Yes,No,One year,Yes,Credit card (automatic),79.67,5050.52,Yes
CUST00100,Male,1,No,Yes,47,No,Fiber optic,One year,Yes,Bank transfer (automatic),26.77,1260.8,Yes
CUST00101,Female,0,Yes,No,14,No,No,Month-to-month,No,Credit card (automatic),97.15,1383.62,Yes
CUST00102,Male,0,No,No,59,No,No,One year,No,Electronic check,23.7,1368.46,Yes
CUST00103,Male,1,No,No,7,No,Fiber optic,One year,Yes,Credit card (automatic),106.58,729.25,No
CUST00104,Male,1,Yes,No,35,No,DSL,Month-to-month,No,Bank transfer (automatic),100.11,3526.56,No
CUST00105,Male,1,No,No,22,Yes,DSL,Two year,No,Bank transfer (automatic),88.98,1942.71,Yes
CUST00106,Female,1,No,Yes,57,Yes,No,One year,No,Bank transfer (automatic),23.48,1295.08,No
CUST00107,Female,0,Yes,Yes,68,Yes,Fiber optic,Two year,No,Electronic check,56.69,3836.36,No
CUST00108,Female,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,No,Electronic check,119.64,3328.48,No
CUST00109,Male,0,No,Yes,71,Yes,DSL,Month-to-month,Yes,Credit card (automatic),74.22,5308.75,Yes
CUST00110,Male,0,No,No,60,No,No,One year,No,Electronic check,100.37,6027.36,Yes
CUST00111,Male,0,Yes,No,58,Yes,DSL,Two year,Yes,Bank transfer (automatic),66.58,3863.38,Yes
CUST00112,Female,0,No,Yes,29,No,DSL,Two year,No,Electronic check,54.6,1627.49,Yes
CUST00113,Female,0,Yes,Yes,22,Yes,No,Two year,No,Mailed check,85.87,1911.2,No
CUST00114,Female,0,No,No,70,No,DSL,Two year,Yes,Mailed check,48.97,3473.57,No
CUST00115,Female,1,No,Yes,44,No,No,Two year,Yes,Bank transfer (automatic),80.67,3530.74,Yes
CUST00116,Female,1,Yes,Yes,32,No,No,Two year,No,Mailed check,34.09,1045.94,Yes
CUST00117,Male,1,No,Yes,64,Yes,No,One year,Yes,Electronic check,107.91,6905.98,No
CUST00118,Male,1,Yes,No,61,No,Fiber optic,One year,Yes,Credit card (automatic),48.57,2913.59,Yes
CUST00119,Female,1,Yes,Yes,71,Yes,Fiber optic,One year,No,Bank transfer (automatic),48.86,3457.69,Yes
CUST00120,Female,1,No,Yes,65,Yes,Fiber optic,Two year,No,Mailed check,24.03,1515.84,No
CUST00121,Female,1,No,Yes,39,No,Fiber optic,Two year,Yes,Credit card (automatic),79.37,3096.16,No
CUST00122,Male,0,No,Yes,4,No,DSL,Two year,Yes,Electronic check,79.69,295.31,Yes
CUST00123,Female,1,Yes,Yes,54,Yes,No,One year,No,Credit card (automatic),35.14,1916.61,No
CUST00124,Female,1,Yes,Yes,69,No,No,One year,Yes,Bank transfer (automatic),54.23,3727.3,No
CUST00125,Female,1,Yes,No,63,No,Fiber optic,Month-to-month,No,Electronic check,51.7,3241.98,No
CUST00126,Male,0,No,No,57,Yes,DSL,Two year,Yes,Mailed check,85.6,4903.93,Yes
CUST00127,Female,0,Yes,Yes,30,Yes,Fiber optic,Two year,No,Credit card (automatic),25.25,748.83,Yes
CUST00128,Male,0,Yes,Yes,37,No,DSL,Month-to-month,No,Credit card (automatic),84.59,3170.62,Yes
CUST00129,Male,1,No,No,38,No,DSL,Two year,No,Bank transfer (automatic),107.67,4042.39,Yes
CUST00130,Male,1,No,Yes,59,Yes,No,Two year,No,Credit card (automatic),84.83,5026.83,No
CUST00131,Male,0,No,No,24,Yes,Fiber optic,One year,No,Bank transfer (automatic),118.17,2833.83,Yes
CUST00132,Female,0,No,No,31,Yes,No,One year,No,Mailed check,26.21,774.33,Yes
CUST00133,Female,1,Yes,Yes,59,Yes,No,One year,No,Electronic check,94.77,5602.0,Yes
CUST00134,Male,1,No,Yes,65,Yes,No,Two year,No,Electronic check,40.22,2617.97,No
CUST00135,Female,1,Yes,No,66,No,DSL,Two year,Yes,Electronic check,61.54,4068.03,Yes
CUST00136,Male,1,Yes,No,70,No,DSL,Month-to-month,No,Bank transfer (automatic),119.41,8402.16,No
CUST00137,Male,1,Yes,Yes,49,No,No,Month-to-month,Yes,Electronic check,57.56,2838.71,Yes
CUST00138,Male,0,No,No,70,Yes,Fiber optic,Month-to-month,Yes,Electronic check,62.41,4356.63,No
CUST00139,Male,1,Yes,Yes,3,Yes,Fiber optic,One year,Yes,Mailed check,44.07,88.94,Yes
CUST00140,Female,1,Yes,No,30,Yes,No,Two year,Yes,Credit card (automatic),101.58,3070.55,No
CUST00141,Female,0,No,No,23,No,No,One year,No,Mailed check,82.6,1892.52,No
CUST00142,Male,1,Yes,No,61,No,No,Two year,Yes,Credit card (automatic),44.1,2662.63,Yes
CUST00143,Male,0,Yes,No,11,No,No,Two year,Yes,Electronic check,112.22,1269.13,Yes
CUST00144,Female,1,Yes,Yes,72,Yes,No,Month-to-month,No,Mailed check,41.7,2973.29,Yes
CUST00145,Female,1,No,No,42,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),97.55,4085.17,Yes
CUST00146,Female,1,Yes,Yes,29,No,DSL,One year,Yes,Credit card (automatic),94.13,2681.39,No
CUST00147,Female,0,Yes,No,63,Yes,No,Two year,Yes,Electronic check,66.08,4186.32,Yes
CUST00148,,0,Yes,Yes,1,Yes,No,One year,No,Electronic check,61.24,95.49,No
CUST00149,Female,1,Yes,No,69,Yes,DSL,Month-to-month,Yes,Mailed check,75.16,5137.23,Yes
CUST00150,Female,1,No,Yes,46,Yes,Fiber optic,Two year,Yes,Electronic check,46.73,2139.27,Yes
CUST00151,Male,0,No,No,61,No,No,Month-to-month,Yes,Mailed check,25.61,1513.16,Yes
CUST00152,Female,0,Yes,No,61,Yes,DSL,Two year,Yes,Credit card (automatic),47.11,2916.13,Yes
CUST00153,Female,0,Yes,No,50,Yes,DSL,One year,Yes,Electronic check,87.7,4389.06,No
CUST00154,Female,1,No,Yes,51,No,No,One year,No,Mailed check,116.89,5944.03,No
CUST00155,Male,1,Yes,No,32,No,Fiber optic,Month-to-month,Yes,Electronic check,91.31,2880.12,No
CUST00156,Female,1,Yes,Yes,14,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),33.25,,No
CUST00157,Male,0,No,Yes,11,Yes,Fiber optic,One year,No,Credit card (automatic),92.48,1023.23,Yes
CUST00158,Female,1,Yes,No,54,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),49.98,2727.19,Yes
CUST00159,Female,1,Yes,No,49,No,No,Two year,Yes,Credit card (automatic),100.41,4903.04,No
CUST00160,Female,0,No,No,41,No,Fiber optic,One year,Yes,Mailed check,49.14,2034.24,Yes
CUST00161,Female,0,No,No,60,Yes,No,One year,Yes,Bank transfer (automatic),114.3,6828.96,Yes
CUST00162,Female,1,Yes,No,10,Yes,DSL,Month-to-month,No,Mailed check,64.91,658.89,Yes
CUST00163,Female,0,Yes,Yes,52,No,DSL,Two year,Yes,Credit card (automatic),116.68,6050.52,No
CUST00164,Female,0,No,No,65,Yes,DSL,Two year,Yes,Bank transfer (automatic),35.07,2329.32,No
CUST00165,Female,1,No,Yes,67,No,DSL,Two year,Yes,Electronic check,68.29,4573.05,No
CUST00166,Male,0,No,No,22,No,DSL,One year,Yes,Mailed check,112.99,2509.83,No
CUST00167,Male,0,Yes,No,26,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.96,1681.92,No
CUST00168,Female,1,Yes,No,63,No,Fiber optic,Two year,Yes,Bank transfer (automatic),72.77,4598.42,Yes
CUST00169,Male,1,No,Yes,31,No,Fiber optic,Month-to-month,No,Mailed check,50.54,1535.04,Yes
CUST00170,Female,0,No,Yes,41,Yes,Fiber optic,Two year,No,Credit card (automatic),104.2,4284.14,No
CUST00171,Male,1,Yes,No,63,Yes,No,One year,Yes,Credit card (automatic),36.73,2320.53,No
CUST00172,Female,0,No,Yes,15,No,DSL,Two year,Yes,Bank transfer (automatic),46.79,706.16,Yes
CUST00173,Male,0,No,No,12,Yes,No,Month-to-month,Yes,Mailed check,63.91,816.32,Yes
CUST00174,Female,1,No,Yes,69,Yes,Fiber optic,Month-to-month,No,Mailed check,36.84,2589.86,Yes
CUST00175,Female,0,No,No,32,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),96.15,3094.42,No
CUST00176,Male,0,No,No,59,Yes,No,One year,Yes,Credit card (automatic),115.03,6769.5,Yes
CUST00177,,1,Yes,Yes,37,Yes,No,One year,Yes,Electronic check,53.78,1997.65,Yes
CUST00178,Male,1,Yes,No,55,Yes,No,One year,No,Electronic check,40.23,2231.51,No
CUST00179,Male,1,Yes,Yes,7,Yes,DSL,One year,Yes,Mailed check,59.63,397.96,Yes
CUST00180,Female,0,No,Yes,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.56,210.83,No
CUST00181,Male,0,Yes,Yes,49,Yes,Fiber optic,One year,Yes,Mailed check,97.35,4795.47,No
CUST00182,Male,1,No,No,28,No,DSL,Month-to-month,No,Electronic check,28.67,762.81,Yes
CUST00183,Female,0,Yes,No,37,No,No,Month-to-month,Yes,Credit card (automatic),97.9,3641.35,No
CUST00184,Female,1,Yes,No,10,No,Fiber optic,Two year,Yes,Credit card (automatic),72.83,,Yes
CUST00185,Female,1,No,No,34,No,DSL,Two year,Yes,Bank transfer (automatic),41.57,1455.64,Yes
CUST00186,Female,1,Yes,No,27,No,No,Month-to-month,Yes,Mailed check,117.43,3136.15,Yes
CUST00187,Male,0,Yes,Yes,8,Yes,DSL,One year,No,Bank transfer (automatic),50.93,431.61,Yes
CUST00188,Male,1,No,No,35,Yes,Fiber optic,Two year,Yes,Credit card (automatic),93.29,3226.96,No
CUST00189,Male,0,Yes,Yes,22,Yes,DSL,Month-to-month,Yes,Credit card (automatic),56.77,1224.45,No
CUST00190,Female,0,No,Yes,5,No,No,One year,No,Electronic check,75.29,417.84,No
CUST00191,Male,1,Yes,No,7,No,Fiber optic,One year,Yes,Credit card (automatic),37.93,295.94,Yes
CUST00192,Female,1,Yes,Yes,39,Yes,DSL,One year,Yes,Mailed check,93.96,3638.7,No
CUST00193,Female,1,Yes,Yes,2,Yes,Fiber optic,One year,Yes,Mailed check,115.1,180.35,No
CUST00194,Female,0,Yes,Yes,67,No,DSL,Two year,Yes,Credit card (automatic),61.31,4147.33,Yes
CUST00195,Female,1,No,No,41,Yes,DSL,Month-to-month,Yes,Electronic check,112.6,4605.9,Yes
CUST00196,Male,1,No,No,41,No,DSL,Month-to-month,Yes,Bank transfer (automatic),60.65,2490.24,Yes
CUST00197,Female,1,Yes,No,19,No,DSL,Month-to-month,No,Credit card (automatic),29.12,528.1,Yes
CUST00198,Male,0,Yes,No,18,No,No,Two year,Yes,Bank transfer (automatic),32.15,,Yes
CUST00199,Female,0,Yes,No,57,Yes,DSL,Two year,No,Credit card (automatic),100.93,,No
CUST00200,Female,1,No,Yes,23,Yes,No,Two year,Yes,Bank transfer (automatic),55.39,1314.8,No
CUST00201,Female,0,Yes,Yes,8,No,No,One year,No,Credit card (automatic),28.77,218.46,No
CUST00202,Male,0,No,Yes,50,No,No,One year,Yes,Mailed check,47.04,2304.61,Yes
CUST00203,Male,0,No,No,69,Yes,DSL,Month-to-month,No,Bank transfer (automatic),101.63,7054.2,Yes
CUST00204,,1,Yes,No,19,Yes,DSL,Month-to-month,Yes,Mailed check,76.31,1418.71,Yes
CUST00205,Male,1,Yes,Yes,26,Yes,No,Two year,Yes,Electronic check,100.64,2600.72,No
CUST00206,Female,0,Yes,No,51,No,No,One year,Yes,Bank transfer (automatic),78.6,3992.26,Yes
CUST00207,Male,0,Yes,No,49,Yes,DSL,Two year,No,Mailed check,50.68,2502.17,Yes
CUST00208,Male,0,No,No,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,43.8,486.24,No
CUST00209,Female,0,No,No,1,No,Fiber optic,Two year,No,Electronic check,24.81,18.63,No
CUST00210,Male,1,Yes,No,29,No,DSL,Month-to-month,No,Mailed check,36.27,1009.2,No
CUST00211,Female,0,No,Yes,12,No,DSL,Month-to-month,Yes,Bank transfer (automatic),53.8,694.13,Yes
CUST00212,Female,1,No,Yes,71,Yes,DSL,One year,No,Mailed check,92.2,6569.2,Yes
CUST00213,Female,0,Yes,Yes,38,Yes,DSL,Two year,No,Electronic check,102.39,3903.33,No
CUST00214,Female,0,No,Yes,51,No,Fiber optic,One year,Yes,Credit card (automatic),67.09,3461.08,Yes
CUST00215,Male,0,Yes,No,29,No,No,Month-to-month,Yes,Credit card (automatic),103.71,3014.01,No
CUST00216,Female,0,No,Yes,61,Yes,DSL,One year,Yes,Mailed check,77.27,4687.03,Yes
CUST00217,Male,0,No,No,55,Yes,DSL,One year,No,Bank transfer (automatic),27.84,1549.51,No
CUST00218,Female,0,No,Yes,2,Yes,No,Two year,Yes,Electronic check,98.66,209.63,Yes
CUST00219,Female,1,Yes,Yes,45,No,Fiber optic,Month-to-month,No,Electronic check,107.79,4826.96,No
CUST00220,Female,1,Yes,No,31,No,Fiber optic,One year,No,Electronic check,24.93,770.35,Yes
CUST00221,Female,0,Yes,No,57,Yes,Fiber optic,Two year,No,Bank transfer (automatic),97.4,5533.89,Yes
CUST00222,Male,0,Yes,Yes,40,Yes,DSL,Month-to-month,No,Electronic check,90.96,3628.74,No
CUST00223,Male,0,Yes,No,60,No,No,One year,Yes,Credit card (automatic),70.51,4244.14,No
CUST00224,Female,0,No,Yes,34,Yes,No,Month-to-month,Yes,Mailed check,94.9,3245.49,Yes
CUST00225,Male,1,Yes,Yes,3,Yes,DSL,One year,No,Bank transfer (automatic),106.46,366.09,No
CUST00226,Female,0,Yes,No,59,No,Fiber optic,Two year,Yes,Credit card (automatic),45.2,2663.47,Yes
CUST00227,Female,0,Yes,Yes,42,Yes,No,One year,No,Mailed check,106.15,4434.41,Yes
CUST00228,Male,0,No,Yes,34,No,No,One year,No,Mailed check,110.69,3753.92,Yes
CUST00229,Male,1,Yes,Yes,34,No,DSL,Two year,No,Credit card (automatic),92.52,3151.58,No
CUST00230,Male,1,Yes,Yes,60,No,No,One year,No,Electronic check,105.12,6304.25,Yes
CUST00231,Female,0,No,Yes,53,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),118.72,,Yes
CUST00232,Male,0,No,No,22,No,Fiber optic,One year,No,Electronic check,77.63,1673.7,Yes
CUST00233,Male,0,Yes,Yes,2,Yes,No,One year,No,Mailed check,109.2,244.08,Yes
CUST00234,Female,1,No,No,22,Yes,Fiber optic,One year,No,Mailed check,26.53,538.23,Yes
CUST00235,Male,0,Yes,Yes,52,Yes,Fiber optic,Two year,Yes,Credit card (automatic),21.91,1111.75,No
CUST00236,Male,0,Yes,No,7,No,Fiber optic,Month-to-month,No,Credit card (automatic),86.2,618.76,Yes
CUST00237,Female,0,No,Yes,2,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),50.11,116.39,Yes
CUST00238,Female,1,Yes,Yes,67,No,DSL,Two year,No,Bank transfer (automatic),117.31,,Yes
CUST00239,Male,0,Yes,Yes,15,No,No,Month-to-month,No,Bank transfer (automatic),103.52,1569.7,No
CUST00240,Female,1,No,Yes,23,Yes,DSL,Month-to-month,Yes,Mailed check,107.41,2505.65,No
CUST00241,Female,0,Yes,No,35,No,Fiber optic,One year,No,Credit card (automatic),107.85,3734.05,No
CUST00242,Male,0,No,No,15,No,DSL,Two year,No,Bank transfer (automatic),33.25,521.39,Yes
CUST00243,Female,1,Yes,Yes,17,No,No,One year,Yes,Mailed check,68.31,1160.08,No
CUST00244,Female,1,No,Yes,13,Yes,DSL,Two year,Yes,Credit card (automatic),63.28,845.31,No
CUST00245,Female,0,Yes,No,63,No,DSL,Month-to-month,No,Credit card (automatic),52.06,3262.87,No
CUST00246,Male,0,No,No,41,Yes,No,Two year,Yes,Electronic check,31.87,1306.41,No
CUST00247,Male,0,No,No,59,No,No,Two year,No,Credit card (automatic),115.04,6773.69,Yes
CUST00248,Female,1,Yes,Yes,1,Yes,Fiber optic,Month-to-month,No,Electronic check,54.14,87.13,No
CUST00249,Male,1,Yes,No,51,Yes,No,Two year,Yes,Credit card (automatic),41.56,2152.02,No
CUST00250,Male,1,No,Yes,18,Yes,No,Month-to-month,Yes,Credit card (automatic),116.39,2045.45,No
CUST00251,Female,1,Yes,Yes,32,No,No,Two year,No,Bank transfer (automatic),47.36,1561.88,Yes
CUST00252,Male,0,No,Yes,38,No,No,One year,No,Bank transfer (automatic),88.66,3411.2,No
CUST00253,Male,0,No,Yes,4,No,No,One year,Yes,Electronic check,58.09,187.67,No
CUST00254,Male,1,Yes,No,46,Yes,Fiber optic,One year,No,Bank transfer (automatic),101.4,,Yes
CUST00255,Female,0,Yes,No,57,No,DSL,Two year,Yes,Mailed check,103.0,5912.15,Yes
CUST00256,Male,0,No,Yes,6,No,Fiber optic,Two year,Yes,Electronic check,62.85,382.76,Yes
